image_id,image_name,ai_results,ai_confidence,ai_accuracy,true_answer
fake_31,fake/fake_31.jpg,fake,0.9873,high,fake
fake_421,fake/fake_421.jpg,fake,0.5699,low,fake
fake_229,fake/fake_229.jpg,fake,0.9945,high,fake
real_439,real/real_439.jpg,real,0.519,low,real
real_339,real/real_339.jpg,real,0.9918,high,real
fake_379,fake/fake_379.jpg,fake,0.6221,low,fake
fake_417,fake/fake_417.jpg,fake,0.9977,high,fake
fake_376,fake/fake_376.jpg,fake,0.9803,high,fake
real_315,real/real_315.jpg,real,0.9684,high,real
real_363,real/real_363.jpg,real,0.5013,low,real
fake_673,fake/fake_673.jpg,fake,0.9965,high,fake
fake_429,fake/fake_429.jpg,fake,0.6085,low,fake
fake_638,fake/fake_638.jpg,fake,0.9956,high,fake
real_349,real/real_349.jpg,real,0.5038,low,real
real_14,real/real_14.jpg,fake,0.5011,low,real
fake_456,fake/fake_456.jpg,fake,0.6373,low,fake
real_251,real/real_251.jpg,real,0.9764,high,real
real_547,real/real_547.jpg,real,0.9872,high,real
real_415,real/real_415.jpg,fake,0.5192,low,real
real_448,real/real_448.jpg,real,0.5092,low,real
real_8,real/real_8.jpg,real,0.5221,low,real
fake_45,fake/fake_45.jpg,fake,0.5606,low,fake
real_326,real/real_326.jpg,real,0.9746,high,real
fake_35,fake/fake_35.jpg,fake,0.5974,low,fake
fake_34,fake/fake_34.jpg,fake,0.5824,low,fake
real_225,real/real_225.jpg,fake,0.5581,low,real
real_61,real/real_61.jpg,real,0.5145,low,real
real_321,real/real_321.jpg,real,0.5177,low,real
real_375,real/real_375.jpg,fake,0.514,low,real
fake_252,fake/fake_252.jpg,fake,0.5716,low,fake
fake_18,fake/fake_18.jpg,fake,0.5742,low,fake
real_101,real/real_101.jpg,real,0.5118,low,real
real_9,real/real_9.jpg,fake,0.5349,low,real
fake_400,fake/fake_400.jpg,fake,0.5806,low,fake
real_121,real/real_121.jpg,real,0.9708,high,real
real_304,real/real_304.jpg,real,0.5011,low,real
fake_356,fake/fake_356.jpg,fake,0.6259,low,fake
fake_601,fake/fake_601.jpg,fake,0.9976,high,fake
fake_548,fake/fake_548.jpg,fake,0.6067,low,fake
fake_347,fake/fake_347.jpg,fake,0.9628,high,fake
fake_84,fake/fake_84.jpg,fake,0.9693,high,fake
fake_249,fake/fake_249.jpg,fake,0.6227,low,fake
real_570,real/real_570.jpg,real,0.5322,low,real
real_172,real/real_172.jpg,real,0.5245,low,real
fake_490,fake/fake_490.jpg,fake,0.6082,low,fake
real_557,real/real_557.jpg,real,0.8821,high,real
real_503,real/real_503.jpg,fake,0.5822,low,real
real_65,real/real_65.jpg,real,0.5286,low,real
real_423,real/real_423.jpg,real,0.9965,high,real
fake_113,fake/fake_113.jpg,fake,0.9966,high,fake
real_284,real/real_284.jpg,real,0.5101,low,real
real_460,real/real_460.jpg,real,0.5056,low,real
fake_238,fake/fake_238.jpg,fake,0.9952,high,fake
fake_145,fake/fake_145.jpg,fake,0.5935,low,fake
fake_641,fake/fake_641.jpg,fake,0.9983,high,fake
real_194,real/real_194.jpg,fake,0.517,low,real
fake_393,fake/fake_393.jpg,fake,0.6391,low,fake
real_466,real/real_466.jpg,fake,0.5366,low,real
fake_298,fake/fake_298.jpg,fake,0.9994,high,fake
fake_651,fake/fake_651.jpg,fake,0.9954,high,fake
real_431,real/real_431.jpg,real,0.9676,high,real
fake_586,fake/fake_586.jpg,fake,0.6199,low,fake
real_85,real/real_85.jpg,real,0.9627,high,real
fake_426,fake/fake_426.jpg,fake,0.9943,high,fake
fake_427,fake/fake_427.jpg,fake,0.5856,low,fake
real_582,real/real_582.jpg,real,0.9308,high,real
real_233,real/real_233.jpg,real,0.9878,high,real
real_248,real/real_248.jpg,real,0.8721,high,real
real_63,real/real_63.jpg,real,0.9808,high,real
fake_631,fake/fake_631.jpg,fake,0.9401,high,fake
real_533,real/real_533.jpg,fake,0.5452,high,real
fake_599,fake/fake_599.jpg,fake,0.9797,high,fake
real_181,real/real_181.jpg,real,0.9877,high,real
fake_474,fake/fake_474.jpg,fake,0.5792,low,fake
real_72,real/real_72.jpg,real,0.812,high,real
fake_97,fake/fake_97.jpg,fake,0.9919,high,fake
real_452,real/real_452.jpg,real,0.9908,high,real
fake_105,fake/fake_105.jpg,fake,0.5536,low,fake
real_30,real/real_30.jpg,fake,0.5021,low,real
real_352,real/real_352.jpg,real,0.9909,high,real
fake_696,fake/fake_696.jpg,fake,0.9807,high,fake
fake_532,fake/fake_532.jpg,fake,0.556,low,fake
fake_280,fake/fake_280.jpg,fake,0.5799,low,fake
fake_463,fake/fake_463.jpg,fake,0.7128,high,fake
fake_116,fake/fake_116.jpg,fake,0.543,low,fake
real_534,real/real_534.jpg,real,0.5147,low,real
fake_370,fake/fake_370.jpg,fake,0.5633,low,fake
real_395,real/real_395.jpg,fake,0.5032,low,real
real_279,real/real_279.jpg,fake,0.5083,low,real
real_44,real/real_44.jpg,real,0.8133,high,real
