image_id,image_name,ai_results,ai_confidence,ai_accuracy,true_answer
real_208,real/real_208.jpg,real,0.9649,high,real
fake_430,fake/fake_430.jpg,fake,0.6471,high,fake
real_426,real/real_426.jpg,fake,0.5228,low,real
real_223,real/real_223.jpg,real,0.9942,high,real
fake_144,fake/fake_144.jpg,fake,0.7076,high,fake
fake_119,fake/fake_119.jpg,fake,0.9958,high,fake
fake_527,fake/fake_527.jpg,fake,0.5683,low,fake
fake_383,fake/fake_383.jpg,fake,0.9925,high,fake
fake_666,fake/fake_666.jpg,fake,0.985,high,fake
real_189,real/real_189.jpg,fake,0.5411,low,real
fake_645,fake/fake_645.jpg,fake,0.5534,low,fake
fake_77,fake/fake_77.jpg,fake,0.9843,high,fake
real_166,real/real_166.jpg,real,0.993,high,real
fake_662,fake/fake_662.jpg,fake,0.5799,low,fake
fake_362,fake/fake_362.jpg,fake,0.6066,low,fake
fake_98,fake/fake_98.jpg,fake,0.6073,low,fake
fake_23,fake/fake_23.jpg,fake,0.571,low,fake
fake_170,fake/fake_170.jpg,fake,0.5616,low,fake
fake_262,fake/fake_262.jpg,fake,0.5887,low,fake
real_409,real/real_409.jpg,fake,0.527,low,real
real_241,real/real_241.jpg,real,0.9728,high,real
fake_504,fake/fake_504.jpg,fake,0.742,high,fake
fake_114,fake/fake_114.jpg,fake,0.5823,low,fake
fake_185,fake/fake_185.jpg,fake,0.9205,high,fake
real_422,real/real_422.jpg,real,0.9829,high,real
real_3,real/real_3.jpg,real,0.994,high,real
real_517,real/real_517.jpg,real,0.9804,high,real
fake_391,fake/fake_391.jpg,fake,0.9886,high,fake
real_541,real/real_541.jpg,real,0.9917,high,real
real_66,real/real_66.jpg,real,0.9806,high,real
fake_74,fake/fake_74.jpg,fake,0.9958,high,fake
real_341,real/real_341.jpg,real,0.501,low,real
fake_81,fake/fake_81.jpg,fake,0.9988,high,fake
real_73,real/real_73.jpg,real,0.7728,high,real
real_348,real/real_348.jpg,fake,0.6132,low,real
fake_476,fake/fake_476.jpg,fake,0.5009,low,fake
fake_325,fake/fake_325.jpg,fake,0.6025,low,fake
fake_358,fake/fake_358.jpg,fake,0.6313,low,fake
fake_677,fake/fake_677.jpg,fake,0.6154,low,fake
fake_587,fake/fake_587.jpg,fake,0.9968,high,fake
real_396,real/real_396.jpg,real,0.5465,low,real
fake_204,fake/fake_204.jpg,fake,0.609,low,fake
fake_528,fake/fake_528.jpg,fake,0.9979,high,fake
real_274,real/real_274.jpg,real,0.529,low,real
real_179,real/real_179.jpg,real,0.9911,high,real
real_324,real/real_324.jpg,real,0.5134,low,real
real_99,real/real_99.jpg,real,0.9387,high,real
real_347,real/real_347.jpg,fake,0.5031,low,real
real_316,real/real_316.jpg,fake,0.5446,low,real
real_163,real/real_163.jpg,real,0.9479,high,real
fake_220,fake/fake_220.jpg,fake,0.997,high,fake
fake_671,fake/fake_671.jpg,fake,0.5572,low,fake
fake_124,fake/fake_124.jpg,fake,0.5249,low,fake
real_107,real/real_107.jpg,fake,0.5198,low,real
real_477,real/real_477.jpg,real,0.9801,high,real
real_106,real/real_106.jpg,real,0.5685,low,real
fake_55,fake/fake_55.jpg,fake,0.9904,high,fake
real_579,real/real_579.jpg,fake,0.516,low,real
real_1,real/real_1.jpg,real,0.8704,high,real
fake_611,fake/fake_611.jpg,fake,0.5951,high,fake
real_335,real/real_335.jpg,fake,0.535,low,real
fake_603,fake/fake_603.jpg,fake,0.5935,low,fake
fake_375,fake/fake_375.jpg,fake,0.6145,low,fake
real_403,real/real_403.jpg,fake,0.5022,low,real
fake_12,fake/fake_12.jpg,fake,0.9962,high,fake
fake_607,fake/fake_607.jpg,fake,0.6379,low,fake
real_337,real/real_337.jpg,real,0.5327,low,real
fake_194,fake/fake_194.jpg,fake,0.5182,low,fake
fake_488,fake/fake_488.jpg,fake,0.9926,high,fake
real_218,real/real_218.jpg,fake,0.5142,low,real
fake_465,fake/fake_465.jpg,fake,0.7183,high,fake
fake_453,fake/fake_453.jpg,fake,0.5198,low,fake
fake_142,fake/fake_142.jpg,fake,0.6002,low,fake
fake_608,fake/fake_608.jpg,fake,0.522,low,fake
fake_503,fake/fake_503.jpg,fake,0.5669,low,fake
fake_344,fake/fake_344.jpg,fake,0.9964,high,fake
fake_299,fake/fake_299.jpg,fake,0.5706,low,fake
real_369,real/real_369.jpg,real,0.5022,low,real
real_113,real/real_113.jpg,real,0.5268,low,real
fake_277,fake/fake_277.jpg,fake,0.9915,high,fake
real_230,real/real_230.jpg,real,0.9892,high,real
real_143,real/real_143.jpg,real,0.9844,high,real
fake_199,fake/fake_199.jpg,fake,0.9985,high,fake
fake_467,fake/fake_467.jpg,fake,0.9571,high,fake
fake_36,fake/fake_36.jpg,fake,0.9969,high,fake
fake_578,fake/fake_578.jpg,fake,0.9967,high,fake
fake_235,fake/fake_235.jpg,fake,0.5707,low,fake
fake_665,fake/fake_665.jpg,fake,0.9956,high,fake
fake_374,fake/fake_374.jpg,fake,0.5435,low,fake
fake_22,fake/fake_22.jpg,fake,0.5543,low,fake
